BillNo,Date,Time,LineNo,Qty,Rate,Amount,Discount%,DiscountAmt,CGSTAmt,SGSTAmt,IGST%,IGSTAmt,TotalAmt,PaymentMode
1096,17-Jan-26,17:49:51,1,1,120,114,0,0,3,3,5,0,120,CASH
1097,17-Jan-26,17:52:15,1,1,650,619,0,0,15.5,15.5,5,0,650,CASH
1098,17-Jan-26,17:59:49,1,3,40,114,0,0,3,3,5,0,120,PPP
1098,17-Jan-26,17:59:49,2,1,50,48,0,0,1,1,5,0,50,PPP
1099,17-Jan-26,18:12:55,1,1,720,686,0,0,17,17,5,0,720,
1100,17-Jan-26,18:23:32,1,1,350,333,0,0,8.5,8.5,5,0,350,
1101,17-Jan-26,18:26:56,1,2,650,1238,0,0,31,31,5,0,1300,PPP
1101,17-Jan-26,18:26:56,2,1,350,333,0,0,8.5,8.5,5,0,350,PPP
1101,17-Jan-26,18:26:56,3,1,50,48,0,0,1,1,5,0,50,PPP
1102,17-Jan-26,19:17:23,1,2,150,286,0,0,7,7,5,0,300,CASH
1102,17-Jan-26,19:17:23,2,1,120,114,0,0,3,3,5,0,120,CASH
1102,17-Jan-26,19:17:23,3,2,150,286,0,0,7,7,5,0,300,CASH
1102,17-Jan-26,19:17:23,4,1,250,238,0,0,6,6,5,0,250,CASH
1103,17-Jan-26,19:35:01,1,1,120,114,0,0,3,3,5,0,120,
1104,17-Jan-26,19:45:37,1,1,400,381,0,0,9.5,9.5,5,0,400,CASH
1105,17-Jan-26,19:45:55,1,2,850,1619,0,0,40.5,40.5,5,0,1700,PPP
1106,17-Jan-26,19:47:35,1,2,250,476,0,0,12,12,5,0,500,PPP
3,01-Jan-26,11:38:58,3,1,500,476,0,0,12,12,5,0,500,
4,01-Jan-26,11:40:24,1,1,500,476,0,0,12,12,5,0,500,
5,01-Jan-26,11:43:17,1,1,50,48,0,0,1,1,5,0,50,
6,01-Jan-26,11:45:20,1,3,550,1571,0,0,39.5,39.5,5,0,1650,
7,01-Jan-26,12:13:47,1,1,300,286,0,0,7,7,5,0,300,
7,01-Jan-26,12:13:47,2,1,400,381,0,0,9.5,9.5,5,0,400,
7,01-Jan-26,12:13:47,3,1,200,190,0,0,5,5,5,0,200,
7,01-Jan-26,12:13:47,4,1,150,143,0,0,3.5,3.5,5,0,150,
